,Choice,Gamble_nr,Session_count,Trial_count,maxA,minA,xA,pA1,pA2,maxB,minB,xB,pB1,pB2
0,,23.0,1.0,1.0,150.0,50.0,150.0,1.0,0.0,143.0,0.0,143.0,1.0,0.0
1,,23.0,1.0,2.0,150.0,50.0,150.0,1.0,0.0,143.0,0.0,143.0,1.0,0.0
2,,23.0,1.0,3.0,150.0,50.0,150.0,1.0,0.0,143.0,0.0,143.0,1.0,0.0
3,,23.0,1.0,4.0,150.0,50.0,150.0,1.0,0.0,143.0,0.0,143.0,1.0,0.0
4,,23.0,1.0,5.0,150.0,50.0,150.0,1.0,0.0,143.0,0.0,143.0,1.0,0.0
5,,23.0,2.0,1.0,150.0,50.0,150.0,1.0,0.0,143.0,0.0,143.0,1.0,0.0
6,,23.0,2.0,2.0,150.0,50.0,150.0,1.0,0.0,143.0,0.0,143.0,1.0,0.0
7,,23.0,2.0,3.0,150.0,50.0,150.0,1.0,0.0,143.0,0.0,143.0,1.0,0.0
8,,23.0,2.0,4.0,150.0,50.0,150.0,1.0,0.0,143.0,0.0,143.0,1.0,0.0
9,,23.0,2.0,5.0,150.0,50.0,150.0,1.0,0.0,143.0,0.0,143.0,1.0,0.0
10,,23.0,3.0,1.0,150.0,50.0,150.0,1.0,0.0,143.0,0.0,143.0,1.0,0.0
11,,23.0,3.0,2.0,150.0,50.0,150.0,1.0,0.0,143.0,0.0,143.0,1.0,0.0
12,,23.0,3.0,3.0,150.0,50.0,150.0,1.0,0.0,143.0,0.0,143.0,1.0,0.0
13,,23.0,3.0,4.0,150.0,50.0,150.0,1.0,0.0,143.0,0.0,143.0,1.0,0.0
14,,23.0,3.0,5.0,150.0,50.0,150.0,1.0,0.0,143.0,0.0,143.0,1.0,0.0
