,Choice,Gamble_nr,Session_count,Trial_count,maxA,minA,xA,pA1,pA2,maxB,minB,xB,pB1,pB2
0,,22.0,1.0,1.0,150.0,50.0,150.0,1.0,0.0,113.0,0.0,113.0,1.0,0.0
1,,22.0,1.0,2.0,150.0,50.0,150.0,1.0,0.0,113.0,0.0,113.0,1.0,0.0
2,,22.0,1.0,3.0,150.0,50.0,150.0,1.0,0.0,113.0,0.0,113.0,1.0,0.0
3,,22.0,1.0,4.0,150.0,50.0,150.0,1.0,0.0,113.0,0.0,113.0,1.0,0.0
4,,22.0,1.0,5.0,150.0,50.0,50.0,0.8,0.19999999999999996,113.0,0.0,113.0,1.0,0.0
5,,22.0,2.0,1.0,150.0,50.0,150.0,1.0,0.0,113.0,0.0,113.0,1.0,0.0
6,,22.0,2.0,2.0,150.0,50.0,150.0,1.0,0.0,113.0,0.0,113.0,1.0,0.0
7,,22.0,2.0,3.0,150.0,50.0,150.0,1.0,0.0,113.0,0.0,113.0,1.0,0.0
8,,22.0,2.0,4.0,150.0,50.0,150.0,1.0,0.0,113.0,0.0,113.0,1.0,0.0
9,,22.0,2.0,5.0,150.0,50.0,50.0,0.8,0.19999999999999996,113.0,0.0,113.0,1.0,0.0
10,,22.0,3.0,1.0,150.0,50.0,150.0,1.0,0.0,113.0,0.0,113.0,1.0,0.0
11,,22.0,3.0,2.0,150.0,50.0,150.0,1.0,0.0,113.0,0.0,113.0,1.0,0.0
12,,22.0,3.0,3.0,150.0,50.0,150.0,1.0,0.0,113.0,0.0,113.0,1.0,0.0
13,,22.0,3.0,4.0,150.0,50.0,150.0,1.0,0.0,113.0,0.0,113.0,1.0,0.0
14,,22.0,3.0,5.0,150.0,50.0,50.0,0.8,0.19999999999999996,113.0,0.0,113.0,1.0,0.0
