,Choice,Gamble_nr,Session_count,Trial_count,maxA,minA,xA,pA1,pA2,maxB,minB,xB,pB1,pB2
0,,27.0,1.0,1.0,200.0,100.0,200.0,1.0,0.0,150.0,0.0,150.0,1.0,0.0
1,,27.0,1.0,2.0,200.0,100.0,200.0,1.0,0.0,150.0,0.0,150.0,1.0,0.0
2,,27.0,1.0,3.0,200.0,100.0,200.0,1.0,0.0,150.0,0.0,150.0,1.0,0.0
3,,27.0,1.0,4.0,200.0,100.0,200.0,1.0,0.0,150.0,0.0,150.0,1.0,0.0
4,,27.0,1.0,5.0,200.0,100.0,100.0,0.8,0.19999999999999996,150.0,0.0,150.0,1.0,0.0
5,,27.0,2.0,1.0,200.0,100.0,200.0,1.0,0.0,150.0,0.0,150.0,1.0,0.0
6,,27.0,2.0,2.0,200.0,100.0,200.0,1.0,0.0,150.0,0.0,150.0,1.0,0.0
7,,27.0,2.0,3.0,200.0,100.0,200.0,1.0,0.0,150.0,0.0,150.0,1.0,0.0
8,,27.0,2.0,4.0,200.0,100.0,200.0,1.0,0.0,150.0,0.0,150.0,1.0,0.0
9,,27.0,2.0,5.0,200.0,100.0,100.0,0.8,0.19999999999999996,150.0,0.0,150.0,1.0,0.0
10,,27.0,3.0,1.0,200.0,100.0,200.0,1.0,0.0,150.0,0.0,150.0,1.0,0.0
11,,27.0,3.0,2.0,200.0,100.0,200.0,1.0,0.0,150.0,0.0,150.0,1.0,0.0
12,,27.0,3.0,3.0,200.0,100.0,200.0,1.0,0.0,150.0,0.0,150.0,1.0,0.0
13,,27.0,3.0,4.0,200.0,100.0,200.0,1.0,0.0,150.0,0.0,150.0,1.0,0.0
14,,27.0,3.0,5.0,200.0,100.0,100.0,0.8,0.19999999999999996,150.0,0.0,150.0,1.0,0.0
