,Choice,Gamble_nr,Session_count,Trial_count,maxA,minA,xA,pA1,pA2,maxB,minB,xB,pB1,pB2
0,,15.0,1.0,1.0,400.0,0.0,400.0,1.0,0.0,396.0,0.0,396.0,1.0,0.0
1,,15.0,1.0,2.0,400.0,0.0,400.0,1.0,0.0,396.0,0.0,396.0,1.0,0.0
2,,15.0,1.0,3.0,400.0,0.0,400.0,1.0,0.0,396.0,0.0,396.0,1.0,0.0
3,,15.0,1.0,4.0,400.0,0.0,400.0,1.0,0.0,396.0,0.0,396.0,1.0,0.0
4,,15.0,1.0,5.0,400.0,0.0,400.0,1.0,0.0,396.0,0.0,396.0,1.0,0.0
5,,15.0,2.0,1.0,400.0,0.0,400.0,1.0,0.0,396.0,0.0,396.0,1.0,0.0
6,,15.0,2.0,2.0,400.0,0.0,400.0,1.0,0.0,396.0,0.0,396.0,1.0,0.0
7,,15.0,2.0,3.0,400.0,0.0,400.0,1.0,0.0,396.0,0.0,396.0,1.0,0.0
8,,15.0,2.0,4.0,400.0,0.0,400.0,1.0,0.0,396.0,0.0,396.0,1.0,0.0
9,,15.0,2.0,5.0,400.0,0.0,400.0,1.0,0.0,396.0,0.0,396.0,1.0,0.0
10,,15.0,3.0,1.0,400.0,0.0,400.0,1.0,0.0,396.0,0.0,396.0,1.0,0.0
11,,15.0,3.0,2.0,400.0,0.0,400.0,1.0,0.0,396.0,0.0,396.0,1.0,0.0
12,,15.0,3.0,3.0,400.0,0.0,400.0,1.0,0.0,396.0,0.0,396.0,1.0,0.0
13,,15.0,3.0,4.0,400.0,0.0,400.0,1.0,0.0,396.0,0.0,396.0,1.0,0.0
14,,15.0,3.0,5.0,400.0,0.0,400.0,1.0,0.0,396.0,0.0,396.0,1.0,0.0
