,Choice,Gamble_nr,Session_count,Trial_count,maxA,minA,xA,pA1,pA2,maxB,minB,xB,pB1,pB2
0,,25.0,1.0,1.0,200.0,100.0,100.0,0.0,1.0,50.0,0.0,50.0,1.0,0.0
1,,25.0,1.0,2.0,200.0,100.0,100.0,0.0,1.0,50.0,0.0,50.0,1.0,0.0
2,,25.0,1.0,3.0,200.0,100.0,200.0,0.3333333333333333,0.6666666666666667,50.0,0.0,50.0,1.0,0.0
3,,25.0,1.0,4.0,200.0,100.0,200.0,0.5,0.5,50.0,0.0,50.0,1.0,0.0
4,,25.0,1.0,5.0,200.0,100.0,200.0,0.6,0.4,50.0,0.0,50.0,1.0,0.0
5,,25.0,2.0,1.0,200.0,100.0,100.0,0.0,1.0,50.0,0.0,50.0,1.0,0.0
6,,25.0,2.0,2.0,200.0,100.0,100.0,0.0,1.0,50.0,0.0,50.0,1.0,0.0
7,,25.0,2.0,3.0,200.0,100.0,200.0,0.3333333333333333,0.6666666666666667,50.0,0.0,50.0,1.0,0.0
8,,25.0,2.0,4.0,200.0,100.0,200.0,0.5,0.5,50.0,0.0,50.0,1.0,0.0
9,,25.0,2.0,5.0,200.0,100.0,200.0,0.6,0.4,50.0,0.0,50.0,1.0,0.0
10,,25.0,3.0,1.0,200.0,100.0,100.0,0.0,1.0,50.0,0.0,50.0,1.0,0.0
11,,25.0,3.0,2.0,200.0,100.0,100.0,0.0,1.0,50.0,0.0,50.0,1.0,0.0
12,,25.0,3.0,3.0,200.0,100.0,200.0,0.3333333333333333,0.6666666666666667,50.0,0.0,50.0,1.0,0.0
13,,25.0,3.0,4.0,200.0,100.0,200.0,0.5,0.5,50.0,0.0,50.0,1.0,0.0
14,,25.0,3.0,5.0,200.0,100.0,200.0,0.6,0.4,50.0,0.0,50.0,1.0,0.0
