,Choice,Gamble_nr,Session_count,Trial_count,maxA,minA,xA,pA1,pA2,maxB,minB,xB,pB1,pB2
0,,21.0,1.0,1.0,150.0,50.0,150.0,1.0,0.0,75.0,0.0,75.0,1.0,0.0
1,,21.0,1.0,2.0,150.0,50.0,50.0,0.5,0.5,75.0,0.0,75.0,1.0,0.0
2,,21.0,1.0,3.0,150.0,50.0,50.0,0.3333333333333333,0.6666666666666667,75.0,0.0,75.0,1.0,0.0
3,,21.0,1.0,4.0,150.0,50.0,50.0,0.25,0.75,75.0,0.0,75.0,1.0,0.0
4,,21.0,1.0,5.0,150.0,50.0,150.0,0.4,0.6,75.0,0.0,75.0,1.0,0.0
5,,21.0,2.0,1.0,150.0,50.0,150.0,1.0,0.0,75.0,0.0,75.0,1.0,0.0
6,,21.0,2.0,2.0,150.0,50.0,50.0,0.5,0.5,75.0,0.0,75.0,1.0,0.0
7,,21.0,2.0,3.0,150.0,50.0,50.0,0.3333333333333333,0.6666666666666667,75.0,0.0,75.0,1.0,0.0
8,,21.0,2.0,4.0,150.0,50.0,50.0,0.25,0.75,75.0,0.0,75.0,1.0,0.0
9,,21.0,2.0,5.0,150.0,50.0,150.0,0.4,0.6,75.0,0.0,75.0,1.0,0.0
10,,21.0,3.0,1.0,150.0,50.0,150.0,1.0,0.0,75.0,0.0,75.0,1.0,0.0
11,,21.0,3.0,2.0,150.0,50.0,50.0,0.5,0.5,75.0,0.0,75.0,1.0,0.0
12,,21.0,3.0,3.0,150.0,50.0,50.0,0.3333333333333333,0.6666666666666667,75.0,0.0,75.0,1.0,0.0
13,,21.0,3.0,4.0,150.0,50.0,50.0,0.25,0.75,75.0,0.0,75.0,1.0,0.0
14,,21.0,3.0,5.0,150.0,50.0,150.0,0.4,0.6,75.0,0.0,75.0,1.0,0.0
