,Choice,Gamble_nr,Session_count,Trial_count,maxA,minA,xA,pA1,pA2,maxB,minB,xB,pB1,pB2
0,,20.0,1.0,1.0,150.0,50.0,50.0,0.0,1.0,38.0,0.0,38.0,1.0,0.0
1,,20.0,1.0,2.0,150.0,50.0,50.0,0.0,1.0,38.0,0.0,38.0,1.0,0.0
2,,20.0,1.0,3.0,150.0,50.0,50.0,0.0,1.0,38.0,0.0,38.0,1.0,0.0
3,,20.0,1.0,4.0,150.0,50.0,150.0,0.25,0.75,38.0,0.0,38.0,1.0,0.0
4,,20.0,1.0,5.0,150.0,50.0,50.0,0.2,0.8,38.0,0.0,38.0,1.0,0.0
5,,20.0,2.0,1.0,150.0,50.0,50.0,0.0,1.0,38.0,0.0,38.0,1.0,0.0
6,,20.0,2.0,2.0,150.0,50.0,50.0,0.0,1.0,38.0,0.0,38.0,1.0,0.0
7,,20.0,2.0,3.0,150.0,50.0,50.0,0.0,1.0,38.0,0.0,38.0,1.0,0.0
8,,20.0,2.0,4.0,150.0,50.0,150.0,0.25,0.75,38.0,0.0,38.0,1.0,0.0
9,,20.0,2.0,5.0,150.0,50.0,50.0,0.2,0.8,38.0,0.0,38.0,1.0,0.0
10,,20.0,3.0,1.0,150.0,50.0,50.0,0.0,1.0,38.0,0.0,38.0,1.0,0.0
11,,20.0,3.0,2.0,150.0,50.0,50.0,0.0,1.0,38.0,0.0,38.0,1.0,0.0
12,,20.0,3.0,3.0,150.0,50.0,50.0,0.0,1.0,38.0,0.0,38.0,1.0,0.0
13,,20.0,3.0,4.0,150.0,50.0,150.0,0.25,0.75,38.0,0.0,38.0,1.0,0.0
14,,20.0,3.0,5.0,150.0,50.0,50.0,0.2,0.8,38.0,0.0,38.0,1.0,0.0
