,Choice,Gamble_nr,Session_count,Trial_count,maxA,minA,xA,pA1,pA2,maxB,minB,xB,pB1,pB2
0,,26.0,1.0,1.0,200.0,100.0,100.0,0.0,1.0,100.0,0.0,100.0,1.0,0.0
1,,26.0,1.0,2.0,200.0,100.0,200.0,0.5,0.5,100.0,0.0,100.0,1.0,0.0
2,,26.0,1.0,3.0,200.0,100.0,100.0,0.3333333333333333,0.6666666666666667,100.0,0.0,100.0,1.0,0.0
3,,26.0,1.0,4.0,200.0,100.0,200.0,0.5,0.5,100.0,0.0,100.0,1.0,0.0
4,,26.0,1.0,5.0,200.0,100.0,100.0,0.4,0.6,100.0,0.0,100.0,1.0,0.0
5,,26.0,2.0,1.0,200.0,100.0,100.0,0.0,1.0,100.0,0.0,100.0,1.0,0.0
6,,26.0,2.0,2.0,200.0,100.0,200.0,0.5,0.5,100.0,0.0,100.0,1.0,0.0
7,,26.0,2.0,3.0,200.0,100.0,100.0,0.3333333333333333,0.6666666666666667,100.0,0.0,100.0,1.0,0.0
8,,26.0,2.0,4.0,200.0,100.0,200.0,0.5,0.5,100.0,0.0,100.0,1.0,0.0
9,,26.0,2.0,5.0,200.0,100.0,100.0,0.4,0.6,100.0,0.0,100.0,1.0,0.0
10,,26.0,3.0,1.0,200.0,100.0,100.0,0.0,1.0,100.0,0.0,100.0,1.0,0.0
11,,26.0,3.0,2.0,200.0,100.0,200.0,0.5,0.5,100.0,0.0,100.0,1.0,0.0
12,,26.0,3.0,3.0,200.0,100.0,100.0,0.3333333333333333,0.6666666666666667,100.0,0.0,100.0,1.0,0.0
13,,26.0,3.0,4.0,200.0,100.0,200.0,0.5,0.5,100.0,0.0,100.0,1.0,0.0
14,,26.0,3.0,5.0,200.0,100.0,100.0,0.4,0.6,100.0,0.0,100.0,1.0,0.0
