,Choice,Gamble_nr,Session_count,Trial_count,maxA,minA,xA,pA1,pA2,maxB,minB,xB,pB1,pB2
0,,12.0,1.0,1.0,200.0,0.0,200.0,1.0,0.0,180.0,0.0,180.0,1.0,0.0
1,,12.0,1.0,2.0,200.0,0.0,200.0,1.0,0.0,180.0,0.0,180.0,1.0,0.0
2,,12.0,1.0,3.0,200.0,0.0,200.0,1.0,0.0,180.0,0.0,180.0,1.0,0.0
3,,12.0,1.0,4.0,200.0,0.0,200.0,1.0,0.0,180.0,0.0,180.0,1.0,0.0
4,,12.0,1.0,5.0,200.0,0.0,200.0,1.0,0.0,180.0,0.0,180.0,1.0,0.0
5,,12.0,2.0,1.0,200.0,0.0,200.0,1.0,0.0,180.0,0.0,180.0,1.0,0.0
6,,12.0,2.0,2.0,200.0,0.0,200.0,1.0,0.0,180.0,0.0,180.0,1.0,0.0
7,,12.0,2.0,3.0,200.0,0.0,200.0,1.0,0.0,180.0,0.0,180.0,1.0,0.0
8,,12.0,2.0,4.0,200.0,0.0,200.0,1.0,0.0,180.0,0.0,180.0,1.0,0.0
9,,12.0,2.0,5.0,200.0,0.0,200.0,1.0,0.0,180.0,0.0,180.0,1.0,0.0
10,,12.0,3.0,1.0,200.0,0.0,200.0,1.0,0.0,180.0,0.0,180.0,1.0,0.0
11,,12.0,3.0,2.0,200.0,0.0,200.0,1.0,0.0,180.0,0.0,180.0,1.0,0.0
12,,12.0,3.0,3.0,200.0,0.0,200.0,1.0,0.0,180.0,0.0,180.0,1.0,0.0
13,,12.0,3.0,4.0,200.0,0.0,200.0,1.0,0.0,180.0,0.0,180.0,1.0,0.0
14,,12.0,3.0,5.0,200.0,0.0,200.0,1.0,0.0,180.0,0.0,180.0,1.0,0.0
