,Choice,Gamble_nr,Session_count,Trial_count,maxA,minA,xA,pA1,pA2,maxB,minB,xB,pB1,pB2
0,,24.0,1.0,1.0,200.0,100.0,100.0,0.0,1.0,10.0,0.0,10.0,1.0,0.0
1,,24.0,1.0,2.0,200.0,100.0,100.0,0.0,1.0,10.0,0.0,10.0,1.0,0.0
2,,24.0,1.0,3.0,200.0,100.0,100.0,0.0,1.0,10.0,0.0,10.0,1.0,0.0
3,,24.0,1.0,4.0,200.0,100.0,100.0,0.0,1.0,10.0,0.0,10.0,1.0,0.0
4,,24.0,1.0,5.0,200.0,100.0,100.0,0.0,1.0,10.0,0.0,10.0,1.0,0.0
5,,24.0,2.0,1.0,200.0,100.0,100.0,0.0,1.0,10.0,0.0,10.0,1.0,0.0
6,,24.0,2.0,2.0,200.0,100.0,100.0,0.0,1.0,10.0,0.0,10.0,1.0,0.0
7,,24.0,2.0,3.0,200.0,100.0,100.0,0.0,1.0,10.0,0.0,10.0,1.0,0.0
8,,24.0,2.0,4.0,200.0,100.0,100.0,0.0,1.0,10.0,0.0,10.0,1.0,0.0
9,,24.0,2.0,5.0,200.0,100.0,100.0,0.0,1.0,10.0,0.0,10.0,1.0,0.0
10,,24.0,3.0,1.0,200.0,100.0,100.0,0.0,1.0,10.0,0.0,10.0,1.0,0.0
11,,24.0,3.0,2.0,200.0,100.0,100.0,0.0,1.0,10.0,0.0,10.0,1.0,0.0
12,,24.0,3.0,3.0,200.0,100.0,100.0,0.0,1.0,10.0,0.0,10.0,1.0,0.0
13,,24.0,3.0,4.0,200.0,100.0,100.0,0.0,1.0,10.0,0.0,10.0,1.0,0.0
14,,24.0,3.0,5.0,200.0,100.0,100.0,0.0,1.0,10.0,0.0,10.0,1.0,0.0
