,Choice,Gamble_nr,Session_count,Trial_count,maxA,minA,xA,pA1,pA2,maxB,minB,xB,pB1,pB2
0,,17.0,1.0,1.0,100.0,50.0,100.0,1.0,0.0,50.0,0.0,50.0,1.0,0.0
1,,17.0,1.0,2.0,100.0,50.0,50.0,0.5,0.5,50.0,0.0,50.0,1.0,0.0
2,,17.0,1.0,3.0,100.0,50.0,50.0,0.3333333333333333,0.6666666666666667,50.0,0.0,50.0,1.0,0.0
3,,17.0,1.0,4.0,100.0,50.0,50.0,0.25,0.75,50.0,0.0,50.0,1.0,0.0
4,,17.0,1.0,5.0,100.0,50.0,100.0,0.4,0.6,50.0,0.0,50.0,1.0,0.0
5,,17.0,2.0,1.0,100.0,50.0,100.0,1.0,0.0,50.0,0.0,50.0,1.0,0.0
6,,17.0,2.0,2.0,100.0,50.0,50.0,0.5,0.5,50.0,0.0,50.0,1.0,0.0
7,,17.0,2.0,3.0,100.0,50.0,50.0,0.3333333333333333,0.6666666666666667,50.0,0.0,50.0,1.0,0.0
8,,17.0,2.0,4.0,100.0,50.0,50.0,0.25,0.75,50.0,0.0,50.0,1.0,0.0
9,,17.0,2.0,5.0,100.0,50.0,100.0,0.4,0.6,50.0,0.0,50.0,1.0,0.0
10,,17.0,3.0,1.0,100.0,50.0,100.0,1.0,0.0,50.0,0.0,50.0,1.0,0.0
11,,17.0,3.0,2.0,100.0,50.0,50.0,0.5,0.5,50.0,0.0,50.0,1.0,0.0
12,,17.0,3.0,3.0,100.0,50.0,50.0,0.3333333333333333,0.6666666666666667,50.0,0.0,50.0,1.0,0.0
13,,17.0,3.0,4.0,100.0,50.0,50.0,0.25,0.75,50.0,0.0,50.0,1.0,0.0
14,,17.0,3.0,5.0,100.0,50.0,100.0,0.4,0.6,50.0,0.0,50.0,1.0,0.0
