,Choice,Gamble_nr,Session_count,Trial_count,maxA,minA,xA,pA1,pA2,maxB,minB,xB,pB1,pB2
0,,13.0,1.0,1.0,200.0,0.0,200.0,1.0,0.0,198.0,0.0,198.0,1.0,0.0
1,,13.0,1.0,2.0,200.0,0.0,200.0,1.0,0.0,198.0,0.0,198.0,1.0,0.0
2,,13.0,1.0,3.0,200.0,0.0,200.0,1.0,0.0,198.0,0.0,198.0,1.0,0.0
3,,13.0,1.0,4.0,200.0,0.0,200.0,1.0,0.0,198.0,0.0,198.0,1.0,0.0
4,,13.0,1.0,5.0,200.0,0.0,200.0,1.0,0.0,198.0,0.0,198.0,1.0,0.0
5,,13.0,2.0,1.0,200.0,0.0,200.0,1.0,0.0,198.0,0.0,198.0,1.0,0.0
6,,13.0,2.0,2.0,200.0,0.0,200.0,1.0,0.0,198.0,0.0,198.0,1.0,0.0
7,,13.0,2.0,3.0,200.0,0.0,200.0,1.0,0.0,198.0,0.0,198.0,1.0,0.0
8,,13.0,2.0,4.0,200.0,0.0,200.0,1.0,0.0,198.0,0.0,198.0,1.0,0.0
9,,13.0,2.0,5.0,200.0,0.0,200.0,1.0,0.0,198.0,0.0,198.0,1.0,0.0
10,,13.0,3.0,1.0,200.0,0.0,200.0,1.0,0.0,198.0,0.0,198.0,1.0,0.0
11,,13.0,3.0,2.0,200.0,0.0,200.0,1.0,0.0,198.0,0.0,198.0,1.0,0.0
12,,13.0,3.0,3.0,200.0,0.0,200.0,1.0,0.0,198.0,0.0,198.0,1.0,0.0
13,,13.0,3.0,4.0,200.0,0.0,200.0,1.0,0.0,198.0,0.0,198.0,1.0,0.0
14,,13.0,3.0,5.0,200.0,0.0,200.0,1.0,0.0,198.0,0.0,198.0,1.0,0.0
