,Choice,Gamble_nr,Session_count,Trial_count,maxA,minA,xA,pA1,pA2,maxB,minB,xB,pB1,pB2
0,,9.0,1.0,1.0,200.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,1.0,0.0
1,,9.0,1.0,2.0,200.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,1.0,0.0
2,,9.0,1.0,3.0,200.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,1.0,0.0
3,,9.0,1.0,4.0,200.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,1.0,0.0
4,,9.0,1.0,5.0,200.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,1.0,0.0
5,,9.0,2.0,1.0,200.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,1.0,0.0
6,,9.0,2.0,2.0,200.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,1.0,0.0
7,,9.0,2.0,3.0,200.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,1.0,0.0
8,,9.0,2.0,4.0,200.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,1.0,0.0
9,,9.0,2.0,5.0,200.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,1.0,0.0
10,,9.0,3.0,1.0,200.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,1.0,0.0
11,,9.0,3.0,2.0,200.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,1.0,0.0
12,,9.0,3.0,3.0,200.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,1.0,0.0
13,,9.0,3.0,4.0,200.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,1.0,0.0
14,,9.0,3.0,5.0,200.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,1.0,0.0
