,Choice,Gamble_nr,Session_count,Trial_count,maxA,minA,xA,pA1,pA2,maxB,minB,xB,pB1,pB2
0,,11.0,1.0,1.0,200.0,0.0,200.0,1.0,0.0,100.0,0.0,100.0,1.0,0.0
1,,11.0,1.0,2.0,200.0,0.0,200.0,1.0,0.0,100.0,0.0,100.0,1.0,0.0
2,,11.0,1.0,3.0,200.0,0.0,0.0,0.6666666666666666,0.33333333333333337,100.0,0.0,100.0,1.0,0.0
3,,11.0,1.0,4.0,200.0,0.0,200.0,0.75,0.25,100.0,0.0,100.0,1.0,0.0
4,,11.0,1.0,5.0,200.0,0.0,200.0,0.8,0.19999999999999996,100.0,0.0,100.0,1.0,0.0
5,,11.0,2.0,1.0,200.0,0.0,200.0,1.0,0.0,100.0,0.0,100.0,1.0,0.0
6,,11.0,2.0,2.0,200.0,0.0,200.0,1.0,0.0,100.0,0.0,100.0,1.0,0.0
7,,11.0,2.0,3.0,200.0,0.0,0.0,0.6666666666666666,0.33333333333333337,100.0,0.0,100.0,1.0,0.0
8,,11.0,2.0,4.0,200.0,0.0,200.0,0.75,0.25,100.0,0.0,100.0,1.0,0.0
9,,11.0,2.0,5.0,200.0,0.0,200.0,0.8,0.19999999999999996,100.0,0.0,100.0,1.0,0.0
10,,11.0,3.0,1.0,200.0,0.0,200.0,1.0,0.0,100.0,0.0,100.0,1.0,0.0
11,,11.0,3.0,2.0,200.0,0.0,200.0,1.0,0.0,100.0,0.0,100.0,1.0,0.0
12,,11.0,3.0,3.0,200.0,0.0,0.0,0.6666666666666666,0.33333333333333337,100.0,0.0,100.0,1.0,0.0
13,,11.0,3.0,4.0,200.0,0.0,200.0,0.75,0.25,100.0,0.0,100.0,1.0,0.0
14,,11.0,3.0,5.0,200.0,0.0,200.0,0.8,0.19999999999999996,100.0,0.0,100.0,1.0,0.0
