,Choice,Gamble_nr,Session_count,Trial_count,maxA,minA,xA,pA1,pA2,maxB,minB,xB,pB1,pB2
0,,28.0,1.0,1.0,200.0,100.0,200.0,1.0,0.0,150.0,0.0,150.0,1.0,0.0
1,,28.0,1.0,2.0,200.0,100.0,200.0,1.0,0.0,150.0,0.0,150.0,1.0,0.0
2,,28.0,1.0,3.0,200.0,100.0,200.0,1.0,0.0,150.0,0.0,150.0,1.0,0.0
3,,28.0,1.0,4.0,200.0,100.0,200.0,1.0,0.0,150.0,0.0,150.0,1.0,0.0
4,,28.0,1.0,5.0,200.0,100.0,100.0,0.8,0.19999999999999996,150.0,0.0,150.0,1.0,0.0
5,,28.0,2.0,1.0,200.0,100.0,200.0,1.0,0.0,150.0,0.0,150.0,1.0,0.0
6,,28.0,2.0,2.0,200.0,100.0,200.0,1.0,0.0,150.0,0.0,150.0,1.0,0.0
7,,28.0,2.0,3.0,200.0,100.0,200.0,1.0,0.0,150.0,0.0,150.0,1.0,0.0
8,,28.0,2.0,4.0,200.0,100.0,200.0,1.0,0.0,150.0,0.0,150.0,1.0,0.0
9,,28.0,2.0,5.0,200.0,100.0,100.0,0.8,0.19999999999999996,150.0,0.0,150.0,1.0,0.0
10,,28.0,3.0,1.0,200.0,100.0,200.0,1.0,0.0,150.0,0.0,150.0,1.0,0.0
11,,28.0,3.0,2.0,200.0,100.0,200.0,1.0,0.0,150.0,0.0,150.0,1.0,0.0
12,,28.0,3.0,3.0,200.0,100.0,200.0,1.0,0.0,150.0,0.0,150.0,1.0,0.0
13,,28.0,3.0,4.0,200.0,100.0,200.0,1.0,0.0,150.0,0.0,150.0,1.0,0.0
14,,28.0,3.0,5.0,200.0,100.0,100.0,0.8,0.19999999999999996,150.0,0.0,150.0,1.0,0.0
