,Choice,Gamble_nr,Session_count,Trial_count,maxA,minA,xA,pA1,pA2,maxB,minB,xB,pB1,pB2
0,,5.0,1.0,1.0,100.0,0.0,100.0,1.0,0.0,25.0,0.0,25.0,1.0,0.0
1,,5.0,1.0,2.0,100.0,0.0,0.0,0.5,0.5,25.0,0.0,25.0,1.0,0.0
2,,5.0,1.0,3.0,100.0,0.0,0.0,0.3333333333333333,0.6666666666666667,25.0,0.0,25.0,1.0,0.0
3,,5.0,1.0,4.0,100.0,0.0,0.0,0.25,0.75,25.0,0.0,25.0,1.0,0.0
4,,5.0,1.0,5.0,100.0,0.0,0.0,0.2,0.8,25.0,0.0,25.0,1.0,0.0
5,,5.0,2.0,1.0,100.0,0.0,100.0,1.0,0.0,25.0,0.0,25.0,1.0,0.0
6,,5.0,2.0,2.0,100.0,0.0,0.0,0.5,0.5,25.0,0.0,25.0,1.0,0.0
7,,5.0,2.0,3.0,100.0,0.0,0.0,0.3333333333333333,0.6666666666666667,25.0,0.0,25.0,1.0,0.0
8,,5.0,2.0,4.0,100.0,0.0,0.0,0.25,0.75,25.0,0.0,25.0,1.0,0.0
9,,5.0,2.0,5.0,100.0,0.0,0.0,0.2,0.8,25.0,0.0,25.0,1.0,0.0
10,,5.0,3.0,1.0,100.0,0.0,100.0,1.0,0.0,25.0,0.0,25.0,1.0,0.0
11,,5.0,3.0,2.0,100.0,0.0,0.0,0.5,0.5,25.0,0.0,25.0,1.0,0.0
12,,5.0,3.0,3.0,100.0,0.0,0.0,0.3333333333333333,0.6666666666666667,25.0,0.0,25.0,1.0,0.0
13,,5.0,3.0,4.0,100.0,0.0,0.0,0.25,0.75,25.0,0.0,25.0,1.0,0.0
14,,5.0,3.0,5.0,100.0,0.0,0.0,0.2,0.8,25.0,0.0,25.0,1.0,0.0
