,Choice,Gamble_nr,Session_count,Trial_count,maxA,minA,xA,pA1,pA2,maxB,minB,xB,pB1,pB2
0,,16.0,1.0,1.0,100.0,50.0,50.0,0.0,1.0,10.0,0.0,10.0,1.0,0.0
1,,16.0,1.0,2.0,100.0,50.0,50.0,0.0,1.0,10.0,0.0,10.0,1.0,0.0
2,,16.0,1.0,3.0,100.0,50.0,50.0,0.0,1.0,10.0,0.0,10.0,1.0,0.0
3,,16.0,1.0,4.0,100.0,50.0,50.0,0.0,1.0,10.0,0.0,10.0,1.0,0.0
4,,16.0,1.0,5.0,100.0,50.0,50.0,0.0,1.0,10.0,0.0,10.0,1.0,0.0
5,,16.0,2.0,1.0,100.0,50.0,50.0,0.0,1.0,10.0,0.0,10.0,1.0,0.0
6,,16.0,2.0,2.0,100.0,50.0,50.0,0.0,1.0,10.0,0.0,10.0,1.0,0.0
7,,16.0,2.0,3.0,100.0,50.0,50.0,0.0,1.0,10.0,0.0,10.0,1.0,0.0
8,,16.0,2.0,4.0,100.0,50.0,50.0,0.0,1.0,10.0,0.0,10.0,1.0,0.0
9,,16.0,2.0,5.0,100.0,50.0,50.0,0.0,1.0,10.0,0.0,10.0,1.0,0.0
10,,16.0,3.0,1.0,100.0,50.0,50.0,0.0,1.0,10.0,0.0,10.0,1.0,0.0
11,,16.0,3.0,2.0,100.0,50.0,50.0,0.0,1.0,10.0,0.0,10.0,1.0,0.0
12,,16.0,3.0,3.0,100.0,50.0,50.0,0.0,1.0,10.0,0.0,10.0,1.0,0.0
13,,16.0,3.0,4.0,100.0,50.0,50.0,0.0,1.0,10.0,0.0,10.0,1.0,0.0
14,,16.0,3.0,5.0,100.0,50.0,50.0,0.0,1.0,10.0,0.0,10.0,1.0,0.0
