,Choice,Gamble_nr,Session_count,Trial_count,maxA,minA,xA,pA1,pA2,maxB,minB,xB,pB1,pB2
0,,18.0,1.0,1.0,100.0,50.0,100.0,1.0,0.0,90.0,0.0,90.0,1.0,0.0
1,,18.0,1.0,2.0,100.0,50.0,50.0,0.5,0.5,90.0,0.0,90.0,1.0,0.0
2,,18.0,1.0,3.0,100.0,50.0,100.0,0.6666666666666666,0.33333333333333337,90.0,0.0,90.0,1.0,0.0
3,,18.0,1.0,4.0,100.0,50.0,100.0,0.75,0.25,90.0,0.0,90.0,1.0,0.0
4,,18.0,1.0,5.0,100.0,50.0,50.0,0.6,0.4,90.0,0.0,90.0,1.0,0.0
5,,18.0,2.0,1.0,100.0,50.0,100.0,1.0,0.0,90.0,0.0,90.0,1.0,0.0
6,,18.0,2.0,2.0,100.0,50.0,50.0,0.5,0.5,90.0,0.0,90.0,1.0,0.0
7,,18.0,2.0,3.0,100.0,50.0,100.0,0.6666666666666666,0.33333333333333337,90.0,0.0,90.0,1.0,0.0
8,,18.0,2.0,4.0,100.0,50.0,100.0,0.75,0.25,90.0,0.0,90.0,1.0,0.0
9,,18.0,2.0,5.0,100.0,50.0,50.0,0.6,0.4,90.0,0.0,90.0,1.0,0.0
10,,18.0,3.0,1.0,100.0,50.0,100.0,1.0,0.0,90.0,0.0,90.0,1.0,0.0
11,,18.0,3.0,2.0,100.0,50.0,50.0,0.5,0.5,90.0,0.0,90.0,1.0,0.0
12,,18.0,3.0,3.0,100.0,50.0,100.0,0.6666666666666666,0.33333333333333337,90.0,0.0,90.0,1.0,0.0
13,,18.0,3.0,4.0,100.0,50.0,100.0,0.75,0.25,90.0,0.0,90.0,1.0,0.0
14,,18.0,3.0,5.0,100.0,50.0,50.0,0.6,0.4,90.0,0.0,90.0,1.0,0.0
