,Choice,Gamble_nr,Session_count,Trial_count,maxA,minA,xA,pA1,pA2,maxB,minB,xB,pB1,pB2
0,,7.0,1.0,1.0,100.0,0.0,0.0,0.0,1.0,75.0,0.0,75.0,1.0,0.0
1,,7.0,1.0,2.0,100.0,0.0,100.0,0.5,0.5,75.0,0.0,75.0,1.0,0.0
2,,7.0,1.0,3.0,100.0,0.0,100.0,0.6666666666666666,0.33333333333333337,75.0,0.0,75.0,1.0,0.0
3,,7.0,1.0,4.0,100.0,0.0,100.0,0.75,0.25,75.0,0.0,75.0,1.0,0.0
4,,7.0,1.0,5.0,100.0,0.0,0.0,0.6,0.4,75.0,0.0,75.0,1.0,0.0
5,,7.0,2.0,1.0,100.0,0.0,0.0,0.0,1.0,75.0,0.0,75.0,1.0,0.0
6,,7.0,2.0,2.0,100.0,0.0,100.0,0.5,0.5,75.0,0.0,75.0,1.0,0.0
7,,7.0,2.0,3.0,100.0,0.0,100.0,0.6666666666666666,0.33333333333333337,75.0,0.0,75.0,1.0,0.0
8,,7.0,2.0,4.0,100.0,0.0,100.0,0.75,0.25,75.0,0.0,75.0,1.0,0.0
9,,7.0,2.0,5.0,100.0,0.0,0.0,0.6,0.4,75.0,0.0,75.0,1.0,0.0
10,,7.0,3.0,1.0,100.0,0.0,0.0,0.0,1.0,75.0,0.0,75.0,1.0,0.0
11,,7.0,3.0,2.0,100.0,0.0,100.0,0.5,0.5,75.0,0.0,75.0,1.0,0.0
12,,7.0,3.0,3.0,100.0,0.0,100.0,0.6666666666666666,0.33333333333333337,75.0,0.0,75.0,1.0,0.0
13,,7.0,3.0,4.0,100.0,0.0,100.0,0.75,0.25,75.0,0.0,75.0,1.0,0.0
14,,7.0,3.0,5.0,100.0,0.0,0.0,0.6,0.4,75.0,0.0,75.0,1.0,0.0
