,Choice,Gamble_nr,Session_count,Trial_count,maxA,minA,xA,pA1,pA2,maxB,minB,xB,pB1,pB2
0,,2.0,1.0,1.0,50.0,0.0,50.0,1.0,0.0,25.0,0.0,25.0,1.0,0.0
1,,2.0,1.0,2.0,50.0,0.0,50.0,1.0,0.0,25.0,0.0,25.0,1.0,0.0
2,,2.0,1.0,3.0,50.0,0.0,0.0,0.6666666666666666,0.33333333333333337,25.0,0.0,25.0,1.0,0.0
3,,2.0,1.0,4.0,50.0,0.0,50.0,0.75,0.25,25.0,0.0,25.0,1.0,0.0
4,,2.0,1.0,5.0,50.0,0.0,0.0,0.6,0.4,25.0,0.0,25.0,1.0,0.0
5,,2.0,2.0,1.0,50.0,0.0,50.0,1.0,0.0,25.0,0.0,25.0,1.0,0.0
6,,2.0,2.0,2.0,50.0,0.0,50.0,1.0,0.0,25.0,0.0,25.0,1.0,0.0
7,,2.0,2.0,3.0,50.0,0.0,0.0,0.6666666666666666,0.33333333333333337,25.0,0.0,25.0,1.0,0.0
8,,2.0,2.0,4.0,50.0,0.0,50.0,0.75,0.25,25.0,0.0,25.0,1.0,0.0
9,,2.0,2.0,5.0,50.0,0.0,0.0,0.6,0.4,25.0,0.0,25.0,1.0,0.0
10,,2.0,3.0,1.0,50.0,0.0,50.0,1.0,0.0,25.0,0.0,25.0,1.0,0.0
11,,2.0,3.0,2.0,50.0,0.0,50.0,1.0,0.0,25.0,0.0,25.0,1.0,0.0
12,,2.0,3.0,3.0,50.0,0.0,0.0,0.6666666666666666,0.33333333333333337,25.0,0.0,25.0,1.0,0.0
13,,2.0,3.0,4.0,50.0,0.0,50.0,0.75,0.25,25.0,0.0,25.0,1.0,0.0
14,,2.0,3.0,5.0,50.0,0.0,0.0,0.6,0.4,25.0,0.0,25.0,1.0,0.0
