,Choice,Gamble_nr,Session_count,Trial_count,maxA,minA,xA,pA1,pA2,maxB,minB,xB,pB1,pB2
0,,8.0,1.0,1.0,100.0,0.0,100.0,1.0,0.0,95.0,0.0,95.0,1.0,0.0
1,,8.0,1.0,2.0,100.0,0.0,100.0,1.0,0.0,95.0,0.0,95.0,1.0,0.0
2,,8.0,1.0,3.0,100.0,0.0,100.0,1.0,0.0,95.0,0.0,95.0,1.0,0.0
3,,8.0,1.0,4.0,100.0,0.0,100.0,1.0,0.0,95.0,0.0,95.0,1.0,0.0
4,,8.0,1.0,5.0,100.0,0.0,100.0,1.0,0.0,95.0,0.0,95.0,1.0,0.0
5,,8.0,2.0,1.0,100.0,0.0,100.0,1.0,0.0,95.0,0.0,95.0,1.0,0.0
6,,8.0,2.0,2.0,100.0,0.0,100.0,1.0,0.0,95.0,0.0,95.0,1.0,0.0
7,,8.0,2.0,3.0,100.0,0.0,100.0,1.0,0.0,95.0,0.0,95.0,1.0,0.0
8,,8.0,2.0,4.0,100.0,0.0,100.0,1.0,0.0,95.0,0.0,95.0,1.0,0.0
9,,8.0,2.0,5.0,100.0,0.0,100.0,1.0,0.0,95.0,0.0,95.0,1.0,0.0
10,,8.0,3.0,1.0,100.0,0.0,100.0,1.0,0.0,95.0,0.0,95.0,1.0,0.0
11,,8.0,3.0,2.0,100.0,0.0,100.0,1.0,0.0,95.0,0.0,95.0,1.0,0.0
12,,8.0,3.0,3.0,100.0,0.0,100.0,1.0,0.0,95.0,0.0,95.0,1.0,0.0
13,,8.0,3.0,4.0,100.0,0.0,100.0,1.0,0.0,95.0,0.0,95.0,1.0,0.0
14,,8.0,3.0,5.0,100.0,0.0,100.0,1.0,0.0,95.0,0.0,95.0,1.0,0.0
