,Choice,Gamble_nr,Session_count,Trial_count,maxA,minA,xA,pA1,pA2,maxB,minB,xB,pB1,pB2
0,,6.0,1.0,1.0,100.0,0.0,100.0,1.0,0.0,50.0,0.0,50.0,1.0,0.0
1,,6.0,1.0,2.0,100.0,0.0,100.0,1.0,0.0,50.0,0.0,50.0,1.0,0.0
2,,6.0,1.0,3.0,100.0,0.0,0.0,0.6666666666666666,0.33333333333333337,50.0,0.0,50.0,1.0,0.0
3,,6.0,1.0,4.0,100.0,0.0,100.0,0.75,0.25,50.0,0.0,50.0,1.0,0.0
4,,6.0,1.0,5.0,100.0,0.0,0.0,0.6,0.4,50.0,0.0,50.0,1.0,0.0
5,,6.0,2.0,1.0,100.0,0.0,100.0,1.0,0.0,50.0,0.0,50.0,1.0,0.0
6,,6.0,2.0,2.0,100.0,0.0,100.0,1.0,0.0,50.0,0.0,50.0,1.0,0.0
7,,6.0,2.0,3.0,100.0,0.0,0.0,0.6666666666666666,0.33333333333333337,50.0,0.0,50.0,1.0,0.0
8,,6.0,2.0,4.0,100.0,0.0,100.0,0.75,0.25,50.0,0.0,50.0,1.0,0.0
9,,6.0,2.0,5.0,100.0,0.0,0.0,0.6,0.4,50.0,0.0,50.0,1.0,0.0
10,,6.0,3.0,1.0,100.0,0.0,100.0,1.0,0.0,50.0,0.0,50.0,1.0,0.0
11,,6.0,3.0,2.0,100.0,0.0,100.0,1.0,0.0,50.0,0.0,50.0,1.0,0.0
12,,6.0,3.0,3.0,100.0,0.0,0.0,0.6666666666666666,0.33333333333333337,50.0,0.0,50.0,1.0,0.0
13,,6.0,3.0,4.0,100.0,0.0,100.0,0.75,0.25,50.0,0.0,50.0,1.0,0.0
14,,6.0,3.0,5.0,100.0,0.0,0.0,0.6,0.4,50.0,0.0,50.0,1.0,0.0
