,Choice,Gamble_nr,Session_count,Trial_count,maxA,minA,xA,pA1,pA2,maxB,minB,xB,pB1,pB2
0,,14.0,1.0,1.0,400.0,0.0,0.0,0.0,1.0,4.0,0.0,4.0,1.0,0.0
1,,14.0,1.0,2.0,400.0,0.0,0.0,0.0,1.0,4.0,0.0,4.0,1.0,0.0
2,,14.0,1.0,3.0,400.0,0.0,0.0,0.0,1.0,4.0,0.0,4.0,1.0,0.0
3,,14.0,1.0,4.0,400.0,0.0,0.0,0.0,1.0,4.0,0.0,4.0,1.0,0.0
4,,14.0,1.0,5.0,400.0,0.0,0.0,0.0,1.0,4.0,0.0,4.0,1.0,0.0
5,,14.0,2.0,1.0,400.0,0.0,0.0,0.0,1.0,4.0,0.0,4.0,1.0,0.0
6,,14.0,2.0,2.0,400.0,0.0,0.0,0.0,1.0,4.0,0.0,4.0,1.0,0.0
7,,14.0,2.0,3.0,400.0,0.0,0.0,0.0,1.0,4.0,0.0,4.0,1.0,0.0
8,,14.0,2.0,4.0,400.0,0.0,0.0,0.0,1.0,4.0,0.0,4.0,1.0,0.0
9,,14.0,2.0,5.0,400.0,0.0,0.0,0.0,1.0,4.0,0.0,4.0,1.0,0.0
10,,14.0,3.0,1.0,400.0,0.0,0.0,0.0,1.0,4.0,0.0,4.0,1.0,0.0
11,,14.0,3.0,2.0,400.0,0.0,0.0,0.0,1.0,4.0,0.0,4.0,1.0,0.0
12,,14.0,3.0,3.0,400.0,0.0,0.0,0.0,1.0,4.0,0.0,4.0,1.0,0.0
13,,14.0,3.0,4.0,400.0,0.0,0.0,0.0,1.0,4.0,0.0,4.0,1.0,0.0
14,,14.0,3.0,5.0,400.0,0.0,0.0,0.0,1.0,4.0,0.0,4.0,1.0,0.0
