,Choice,Gamble_nr,Session_count,Trial_count,maxA,minA,xA,pA1,pA2,maxB,minB,xB,pB1,pB2
0,,19.0,1.0,1.0,150.0,50.0,50.0,0.0,1.0,8.0,0.0,8.0,1.0,0.0
1,,19.0,1.0,2.0,150.0,50.0,50.0,0.0,1.0,8.0,0.0,8.0,1.0,0.0
2,,19.0,1.0,3.0,150.0,50.0,50.0,0.0,1.0,8.0,0.0,8.0,1.0,0.0
3,,19.0,1.0,4.0,150.0,50.0,50.0,0.0,1.0,8.0,0.0,8.0,1.0,0.0
4,,19.0,1.0,5.0,150.0,50.0,50.0,0.0,1.0,8.0,0.0,8.0,1.0,0.0
5,,19.0,2.0,1.0,150.0,50.0,50.0,0.0,1.0,8.0,0.0,8.0,1.0,0.0
6,,19.0,2.0,2.0,150.0,50.0,50.0,0.0,1.0,8.0,0.0,8.0,1.0,0.0
7,,19.0,2.0,3.0,150.0,50.0,50.0,0.0,1.0,8.0,0.0,8.0,1.0,0.0
8,,19.0,2.0,4.0,150.0,50.0,50.0,0.0,1.0,8.0,0.0,8.0,1.0,0.0
9,,19.0,2.0,5.0,150.0,50.0,50.0,0.0,1.0,8.0,0.0,8.0,1.0,0.0
10,,19.0,3.0,1.0,150.0,50.0,50.0,0.0,1.0,8.0,0.0,8.0,1.0,0.0
11,,19.0,3.0,2.0,150.0,50.0,50.0,0.0,1.0,8.0,0.0,8.0,1.0,0.0
12,,19.0,3.0,3.0,150.0,50.0,50.0,0.0,1.0,8.0,0.0,8.0,1.0,0.0
13,,19.0,3.0,4.0,150.0,50.0,50.0,0.0,1.0,8.0,0.0,8.0,1.0,0.0
14,,19.0,3.0,5.0,150.0,50.0,50.0,0.0,1.0,8.0,0.0,8.0,1.0,0.0
